"","parent","child","pvalue"
"1","EEF1A1","EEF1A1",1.64519418528612e-18
"2","EEF1A1","FTL",0.426739377657452
"3","EEF1A1","NPM1",0.159370108332111
"4","EEF1A1","FTH1",0.631037684444382
"5","EEF1A1","YBX1",0.7808651101536
"6","EEF1A1","HBG2",0.245426363557308
"7","EEF1A1","RACK1",0.104789793120701
"8","EEF1A1","PTMA",0.837879185512953
"9","EEF1A1","TPT1",0.108168237862615
"10","EEF1A1","HSP90AB1",0.106977651926025
"11","EEF1A1","HBZ",0.00613602575494118
"12","EEF1A1","RANBP1",0.608771065588981
"13","EEF1A1","GAPDH",0.39707251714553
"14","EEF1A1","HIST1H4C",0.232528881909193
"15","EEF1A1","GSTP1",0.497178036887722
"16","EEF1A1","ACTB",0.773922969297806
"17","EEF1A1","TUBA1B",0.977377128841983
"18","EEF1A1","GP1BB",0.0930839824327046
"19","EEF1A1","UQCRH",0.0977847133733536
"20","EEF1A1","H3F3A",8.01042923029709e-05
"21","EEF1A1","NCL",0.870631483108646
"22","EEF1A1","UBA52",0.711924325800252
"23","EEF1A1","NACA",0.965516460896405
"24","EEF1A1","HSPD1",0.864161471012974
"25","EEF1A1","HSP90AA1",0.733695738492746
"26","EEF1A1","HIST1H1C",8.11537814461766e-05
"27","EEF1A1","EEF1G",0.991119919356422
"28","EEF1A1","EEF1B2",0.85472509491217
"29","EEF1A1","EEF2",0.0766843827065769
"30","EEF1A1","APOE",0.759672659346938
"31","EEF1A1","FAU",0.647851154892136
"32","EEF1A1","PRDX1",0.0198680472549255
"33","EEF1A1","HMGB1",0.832749162195639
"34","EEF1A1","VIM",0.646755214616402
"35","EEF1A1","SET",0.215101401263663
"36","EEF1A1","H2AFZ",0.27550461722334
"37","EEF1A1","TUBB",0.475308761322261
"38","EEF1A1","RAN",0.205792254554197
"39","EEF1A1","HNRNPA2B1",0.715691414145321
"40","EEF1A1","CHCHD2",0.748027517617381
"41","EEF1A1","PPIA",0.0802550868635088
"42","EEF1A1","OAZ1",0.449735454789008
"43","EEF1A1","ENO1",0.431542904617364
"44","EEF1A1","BTF3",0.345744509024688
"45","EEF1A1","HSPA8",0.429779032250556
"46","EEF1A1","ACTG1",0.00807775353225678
"47","EEF1A1","MIF",0.818812537575965
"48","EEF1A1","TMSB4X",0.727322302207212
"49","EEF1A1","HNRNPA1",0.311287669352744
"50","EEF1A1","EIF1",0.957654179383133
"51","EEF1A1","HINT1",0.391431139129435
"52","EEF1A1","HMGA1",0.282480696266575
"53","EEF1A1","ANP32B",0.112019338148696
"54","EEF1A1","HSPE1",0.359691507430503
"55","EEF1A1","ATP5MC3",0.54886187671048
"56","EEF1A1","SERBP1",0.6439239643879
"57","EEF1A1","H3F3B",0.0354464784288189
"58","EEF1A1","PABPC1",0.734191872904867
"59","EEF1A1","HNRNPU",0.977036065918308
"60","EEF1A1","HBG1",0.153345609607067
"61","EEF1A1","UBE2L3",0.785312007172552
"62","EEF1A1","PA2G4",0.833777124905768
"63","EEF1A1","NDUFS5",0.0793455413922112
"64","EEF1A1","APOC1",0.0295290402581776
"65","EEF1A1","EIF4A1",0.263867980383549
"66","EEF1A1","PFN1",0.945586900532124
"67","EEF1A1","SDF2L1",0.80061741577106
"68","EEF1A1","LDHB",0.808607731167453
"69","EEF1A1","HIST1H1E",0.011576916308504
"70","EEF1A1","TUBA1C",0.0981659693658006
"71","EEF1A1","SLC25A3",0.402063308876456
"72","EEF1A1","CFL1",0.173728519027819
"73","EEF1A1","ATP5F1E",0.698204208713891
"74","EEF1A1","COX4I1",0.368838194647384
"75","EEF1A1","EIF5A",0.765897114639261
"76","EEF1A1","HMGN1",0.487449728407527
"77","EEF1A1","CLIC1",0.658382907405998
"78","EEF1A1","STMN1",0.731104317400856
"79","EEF1A1","CCT5",0.58816780667321
"80","EEF1A1","NDUFC2",0.413625435675981
"81","EEF1A1","HSP90B1",0.803893408110482
"82","EEF1A1","UBE2S",0.930290844961366
"83","EEF1A1","ATP5F1B",0.0262894438138301
"84","EEF1A1","TOMM20",0.17475455065248
"85","EEF1A1","SUB1",0.143102284381971
"86","EEF1A1","CCT3",0.35696881219968
"87","EEF1A1","HNRNPC",0.954892762656025
"88","EEF1A1","PRAME",0.541185276275781
"89","EEF1A1","CENPF",0.290187721156255
"90","EEF1A1","SFPQ",0.767217420885844
"91","EEF1A1","NME1",0.68821652346915
"92","EEF1A1","ATP5F1D",0.732412299749275
"93","EEF1A1","HSPA5",0.419468027511048
"94","EEF1A1","PTGES3",0.107317306036787
"95","EEF1A1","NASP",0.891063996484738
"96","EEF1A1","ATP5PF",0.0434567742035621
"97","EEF1A1","LDHA",0.860481091630798
"98","EEF1A1","CCT8",0.924753286138899
"99","EEF1A1","CALR",0.699154811153541
"100","EEF1A1","GPX4",0.0481104614806063
"101","FTL","EEF1A1",0.26249591048706
"102","FTL","FTL",0
"103","FTL","NPM1",0.214062551981221
"104","FTL","FTH1",0.183593474280991
"105","FTL","YBX1",0.913877080241189
"106","FTL","HBG2",0.661905996453854
"107","FTL","RACK1",0.0692496361619499
"108","FTL","PTMA",0.556074362194805
"109","FTL","TPT1",0.825002399677077
"110","FTL","HSP90AB1",0.465918520078057
"111","FTL","HBZ",0.291494176121241
"112","FTL","RANBP1",0.0500697249563542
"113","FTL","GAPDH",0.696443374348893
"114","FTL","HIST1H4C",0.202234201921961
"115","FTL","GSTP1",0.108121107315903
"116","FTL","ACTB",0.249624209341792
"117","FTL","TUBA1B",0.985086283403162
"118","FTL","GP1BB",0.0116473727088274
"119","FTL","UQCRH",0.197121273958583
"120","FTL","H3F3A",0.467437793855057
"121","FTL","NCL",0.740811309852313
"122","FTL","UBA52",0.660017099763081
"123","FTL","NACA",0.497838374499995
"124","FTL","HSPD1",0.86264921641831
"125","FTL","HSP90AA1",0.174495129822857
"126","FTL","HIST1H1C",0.788414888388391
"127","FTL","EEF1G",0.8462269786673
"128","FTL","EEF1B2",0.918365485124129
"129","FTL","EEF2",0.220021000048782
"130","FTL","APOE",0.167460107474905
"131","FTL","FAU",0.111975809346427
"132","FTL","PRDX1",0.79760203110461
"133","FTL","HMGB1",0.363026312180688
"134","FTL","VIM",0.0731349244778148
"135","FTL","SET",0.0660957995571951
"136","FTL","H2AFZ",0.849908936613145
